metrics,rel,d-value
line_coverage,-,0.82 (large)
isEagerTest,+,0.18 (small)
LOC_prod,+,0.37 (medium)
HALSTEAD_prod,+,0.33 (small)
RFC_prod,+,0.35 (medium)
CBO_prod,+,0.37 (medium)
MPC_prod,+,0.32 (small)
DAC_prod,+,0.23 (small)
DAC2_prod,+,0.21 (small)
LCOM1_prod,+,0.37 (medium)
LCOM2_prod,+,0.31 (small)
LCOM3_prod,+,0.3 (small)
LCOM4_prod,+,0.33 (small)
LCOM5_prod,+,0.17 (small)
COH_prod,-,0.19 (small)
TCC_prod,+,0.24 (small)
LCC_prod,+,0.29 (small)
WMC_prod,+,0.38 (medium)
NOA_prod,+,0.24 (small)
NOPA_prod,+,0.16 (small)
NOP_prod,+,0.29 (small)
McCABE_prod,+,0.39 (medium)
LOC_test,-,0.18 (small)
HALSTEAD_test,-,0.17 (small)
RFC_test,-,0.27 (small)
MPC_test,-,0.24 (small)
DAC_test,-,0.16 (small)
LCOM1_test,-,0.32 (small)
LCOM2_test,-,0.27 (small)
LCOM3_test,-,0.16 (small)
LCOM4_test,-,0.28 (small)
CONNECTIVITY_test,-,0.22 (small)
LCOM5_test,-,0.15 (small)
LCC_test,-,0.27 (small)
ICH_test,-,0.16 (small)
WMC_test,-,0.35 (medium)
NOA_test,-,0.16 (small)
McCABE_test,-,0.33 (small)
csm_MC,+,0.29 (small)
csm_FE,+,0.24 (small)
