project,className,csm_CDSBP,csm_CC,csm_FD,csm_Blob,csm_SC,csm_MC,csm_LM,csm_FE,csm_LOC,csm_LCOM5,csm_TCC,csm_Connectivity,csm_LCC,csm_ICH,csm_CBO,csm_MPC,csm_McCabe,csm_RFC,csm_WMC
javapoet,com.squareup.javapoet.TypeName,true,false,false,false,false,true,false,true,385,1,1,0.11491935483870967,2,0.7878787878787878,22,61,99,94,33
javapoet,com.squareup.javapoet.ParameterSpec,false,false,false,false,false,true,false,false,172,2,2,0.36363636363636365,2,0.875,12,34,35,46,12
javapoet,com.squareup.javapoet.ArrayTypeName,false,false,false,false,false,false,false,false,109,6,1,0.3333333333333333,1,0.5833333333333334,10,22,32,36,14
javapoet,com.squareup.javapoet.MethodSpec,true,false,false,false,false,true,false,true,493,0,2,0.3181818181818182,2,1.0714285714285714,22,73,44,86,13
javapoet,com.squareup.javapoet.JavaFile,false,false,false,false,false,true,false,true,274,2,1,0.17647058823529413,1,1.6,23,52,48,70,18
javapoet,com.squareup.javapoet.LineWrapper,false,false,false,false,false,false,false,false,137,0,1,0.7,1,1.0,2,12,22,18,6
javapoet,com.squareup.javapoet.TypeSpec,true,false,false,false,false,true,true,true,632,0,2,0.16993464052287582,3,1.0,19,63,50,82,19
javapoet,com.squareup.javapoet.ParameterizedTypeName,false,false,false,false,false,true,false,false,138,1,3,0.8444444444444444,3,0.6428571428571429,11,31,32,42,11
javapoet,com.squareup.javapoet.ClassName,false,false,false,false,false,true,false,true,280,4,5,0.5731225296442688,5,1.9,11,60,73,84,24
javapoet,com.squareup.javapoet.CodeBlock,false,false,false,false,false,true,false,false,464,3,0,-0.044444444444444446,0,1.75,12,16,26,27,11
javapoet,com.squareup.javapoet.CodeWriter,false,false,false,false,false,true,false,true,497,2,2,0.12473118279569892,3,0.9285714285714286,19,99,105,131,32
javapoet,com.squareup.javapoet.AnnotationSpec,false,false,false,false,false,true,false,true,279,8,1,0.21818181818181817,1,0.9444444444444444,23,45,34,57,12
javapoet,com.squareup.javapoet.FieldSpec,false,false,false,false,false,true,false,false,174,1,1,0.35714285714285715,1,0.8181818181818182,11,28,26,37,9
javapoet,com.squareup.javapoet.NameAllocator,false,false,false,false,false,false,false,false,168,4,0,0.13333333333333333,1,0.75,7,17,22,24,7
javapoet,com.squareup.javapoet.Util,false,false,false,false,false,true,false,false,131,0,0,-0.14545454545454545,1,0.6,11,25,41,37,12
javapoet,com.squareup.javapoet.TypeVariableName,false,false,false,false,false,true,false,false,168,6,4,0.725,4,0.55,13,43,43,60,17
javapoet,com.squareup.javapoet.WildcardTypeName,false,false,false,false,false,true,false,false,129,8,1,0.19696969696969696,2,0.6470588235294118,11,26,33,39,13
javapoet,com.squareup.javapoet.FileWritingTest,false,false,false,false,false,true,false,true,219,2,2,0.4222222222222222,17,0.0,19,112,25,123,11
javapoet,com.squareup.javapoet.AnnotationSpecTest,false,false,false,false,false,false,false,false,377,1,0,1.0,0,0.0,10,1,2,2,1
javapoet,com.squareup.javapoet.UtilTest,false,false,false,false,false,false,false,false,75,0,0,-0.3333333333333333,1,0.3333333333333333,2,6,4,10,4
javapoet,com.squareup.javapoet.FileReadingTest,false,false,false,false,false,true,false,true,122,4,0,-0.6666666666666666,12,0.0,22,69,11,74,5
javapoet,com.squareup.javapoet.TypeSpecTest,false,true,false,true,true,true,false,true,2359,53,2,0.03128583128583129,184,42.5,28,958,276,1070,112
javapoet,com.squareup.javapoet.FieldSpecTest,false,false,false,false,false,false,false,false,47,0,0,-2.0,1,0.0,4,13,4,15,2
javapoet,com.squareup.javapoet.NameAllocatorTest,false,false,false,false,false,false,false,false,108,0,0,-0.2222222222222222,14,0.0,3,41,26,52,11
javapoet,com.squareup.javapoet.TestFiler,false,false,false,false,false,true,false,false,87,1,0,-0.2,0,0.0,16,9,12,15,6
javapoet,com.squareup.javapoet.LineWrapperTest,false,false,false,false,false,false,false,false,207,0,0,-0.14285714285714285,40,0.0,4,95,32,111,16
javapoet,com.squareup.javapoet.CodeBlockTest,false,false,false,false,false,false,false,false,342,0,0,-0.049910873440285206,79,0.0,9,246,65,281,35
javapoet,com.squareup.javapoet.ClassNameTest,false,false,false,false,false,true,false,false,196,12,0,-0.10256410256410256,8,2.0,13,54,17,68,14
javapoet,com.squareup.javapoet.ParameterSpecTest,false,false,false,false,false,false,false,false,46,0,0,-2.0,1,0.0,4,14,4,16,2
javapoet,com.squareup.javapoet.AnnotatedTypeNameTest,false,false,false,false,false,false,false,true,217,4,7,0.7402597402597403,10,23.0,10,134,23,157,23
javapoet,com.squareup.javapoet.TypeNameTest,false,false,false,false,false,true,false,false,184,0,0,-0.0784313725490196,9,0.6666666666666666,11,72,31,91,19
javapoet,com.squareup.javapoet.MethodSpecTest,false,false,false,false,false,true,false,true,305,7,0,0.058823529411764705,21,0.75,23,130,39,148,18
javapoet,com.squareup.javapoet.TypesTest,false,false,false,false,false,false,false,false,40,0,0,0.0,0,0.0,6,2,4,4,2
javapoet,com.squareup.javapoet.JavaFileTest,false,false,false,false,false,false,false,true,692,0,0,-0.059770114942528735,90,1.0,10,263,61,294,31
javapoet,com.squareup.javapoet.TypesEclipseTest,false,false,false,false,false,true,false,false,158,0,0,0.0,0,0.0,26,2,4,4,2
javapoet,com.squareup.javapoet.AbstractTypesTest,false,false,false,false,false,true,false,true,285,0,0,-0.023333333333333334,28,2.857142857142857,31,135,46,161,26
javapoet,com.squareup.javapoet.Util,false,false,false,false,false,true,false,false,2634,0,0,-0.049786628733997154,0,0.0,11,0,42,39,39
javapoet,com.squareup.javapoet.MethodSpec,false,false,false,true,true,true,false,false,8716,0,0,-0.07692307692307693,0,0.0,22,0,30,28,28
javapoet,com.squareup.javapoet.FieldSpec,false,false,false,false,false,true,false,false,3134,0,0,-0.11764705882352941,0,0.0,11,0,21,18,18
javapoet,com.squareup.javapoet.CodeBlock,false,false,false,true,true,true,false,false,7037,0,0,-0.05105105105105105,0,0.0,12,0,40,38,38
javapoet,com.squareup.javapoet.TypeSpec,false,false,false,true,true,true,false,false,11260,0,0,-0.041811846689895474,0,0.0,19,0,44,43,43
javapoet,com.squareup.javapoet.ClassName,false,false,false,true,true,true,false,false,5297,0,0,-0.012857977790765635,0,0.0,11,0,61,60,60
javapoet,com.squareup.javapoet.ParameterSpec,false,false,false,false,false,true,false,false,3126,0,0,-0.07076923076923076,0,0.0,12,0,31,27,27
javapoet,com.squareup.javapoet.LineWrapper,false,false,false,true,true,false,false,false,2704,0,0,-0.4,0,0.0,2,0,11,6,6
javapoet,com.squareup.javapoet.TypeName,false,false,false,true,true,true,false,false,6959,0,0,-0.015748031496062992,0,0.0,22,0,130,128,128
javapoet,com.squareup.javapoet.AnnotationSpec,false,false,false,true,true,true,false,false,5101,0,0,-0.08333333333333333,0,0.0,23,0,27,26,26
javapoet,com.squareup.javapoet.NameAllocator,false,false,false,false,false,false,false,false,2955,0,0,-0.125,0,0.0,7,0,20,17,17
javapoet,$L.JavaFile,false,false,false,true,true,true,false,false,4954,0,0,-0.10526315789473684,0,0.0,25,0,26,21,21
